year,Winner,Loser
2001,Los Angeles Lakers (2),Portland Trail Blazers (7)
2001,Sacramento Kings (3),Phoenix Suns (6)
2001,San Antonio Spurs (1),Minnesota Timberwolves (8)
2001,Milwaukee Bucks (2),Charlotte Hornets (6)
2001,Philadelphia 76ers (1),Toronto Raptors (5)
2001,Los Angeles Lakers (2),Sacramento Kings (3)
2001,San Antonio Spurs (1),Dallas Mavericks (5)
2001,Philadelphia 76ers (1),Milwaukee Bucks (2)
2001,Los Angeles Lakers (2),San Antonio Spurs (1)
2001,Los Angeles Lakers (2),Philadelphia 76ers (1)
2000,Indiana Pacers (1),Milwaukee Bucks (8)
2000,Miami Heat (2),Detroit Pistons (7)
2000,New York Knicks (3),Toronto Raptors (6)
2000,Philadelphia 76ers (5),Charlotte Hornets (4)
2000,Los Angeles Lakers (1),Sacramento Kings (8)
2000,Phoenix Suns (5),San Antonio Spurs (4)
2000,Portland Trail Blazers (3),Minnesota Timberwolves (6)
2000,Utah Jazz (2),Seattle SuperSonics (7)
2000,Indiana Pacers (1),Philadelphia 76ers (5)
2000,New York Knicks (3),Miami Heat (2)
2000,Los Angeles Lakers (1),Phoenix Suns (5)
2000,Portland Trail Blazers (3),Utah Jazz (2)
2000,Indiana Pacers (1),New York Knicks (3)
2000,Los Angeles Lakers (1),Portland Trail Blazers (3)
2000,Los Angeles Lakers (1),Indiana Pacers (1)
1999,Atlanta Hawks (4),Detroit Pistons (5)
1999,Indiana Pacers (2),Milwaukee Bucks (7)
1999,New York Knicks (8),Miami Heat (1)
1999,Philadelphia 76ers (6),Orlando Magic (3)
1999,Los Angeles Lakers (4),Houston Rockets (5)
1999,Portland Trail Blazers (2),Phoenix Suns (7)
1999,San Antonio Spurs (1),Minnesota Timberwolves (8)
1999,Utah Jazz (3),Sacramento Kings (6)
1999,Indiana Pacers (2),Philadelphia 76ers (6)
1999,New York Knicks (8),Atlanta Hawks (4)
1999,Portland Trail Blazers (2),Utah Jazz (3)
1999,San Antonio Spurs (1),Los Angeles Lakers (4)
1999,New York Knicks (8),Indiana Pacers (2)
1999,San Antonio Spurs (1),Portland Trail Blazers (2)
1999,San Antonio Spurs (1),New York Knicks (8)
1998,Charlotte Hornets (4),Atlanta Hawks (5)
1998,Chicago Bulls (1),New Jersey Nets (8)
1998,Indiana Pacers (3),Cleveland Cavaliers (6)
1998,New York Knicks (7),Miami Heat (2)
1998,Los Angeles Lakers (3),Portland Trail Blazers (6)
1998,San Antonio Spurs (5),Phoenix Suns (4)
1998,Seattle SuperSonics (2),Minnesota Timberwolves (7)
1998,Utah Jazz (1),Houston Rockets (8)
1998,Chicago Bulls (1),Charlotte Hornets (4)
1998,Indiana Pacers (3),New York Knicks (7)
1998,Los Angeles Lakers (3),Seattle SuperSonics (2)
1998,Utah Jazz (1),San Antonio Spurs (5)
1998,Chicago Bulls (1),Indiana Pacers (3)
1998,Utah Jazz (1),Los Angeles Lakers (3)
1998,Chicago Bulls (1),Utah Jazz (1)
1997,Atlanta Hawks (4),Detroit Pistons (5)
1997,Chicago Bulls (1),Washington Bullets (8)
1997,Miami Heat (2),Orlando Magic (7)
1997,New York Knicks (3),Charlotte Hornets (6)
1997,Houston Rockets (3),Minnesota Timberwolves (6)
1997,Los Angeles Lakers (4),Portland Trail Blazers (5)
1997,Seattle SuperSonics (2),Phoenix Suns (7)
1997,Utah Jazz (1),Los Angeles Clippers (8)
1997,Chicago Bulls (1),Atlanta Hawks (4)
1997,Miami Heat (2),New York Knicks (3)
1997,Houston Rockets (3),Seattle SuperSonics (2)
1997,Utah Jazz (1),Los Angeles Lakers (4)
1997,Chicago Bulls (1),Miami Heat (2)
1997,Utah Jazz (1),Houston Rockets (3)
1997,Chicago Bulls (1),Utah Jazz (1)
1996,Atlanta Hawks (6),Indiana Pacers (3)
1996,Chicago Bulls (1),Miami Heat (8)
